행정구역,혼인건수,이혼건수,연도
서울특별시,77376,28962,2001
부산광역시,21825,10489,2001
대구광역시,14833,6248,2001
인천광역시,17066,9378,2001
광주광역시,8765,3534,2001
대전광역시,9505,4058,2001
울산광역시,6730,2983,2001
세종특별자치시,0,0,2001
경기도,68516,28823,2001
강원특별자치도,9162,4488,2001
충청북도,9325,3928,2001
충청남도,11113,4685,2001
전라북도,10281,4550,2001
전라남도,10772,4793,2001
경상북도,15884,6248,2001
경상남도,18849,7966,2001
제주특별자치도,3708,1721,2001
서울특별시,72696,29351,2002
부산광역시,20916,12065,2002
대구광역시,13741,7329,2002
인천광역시,16851,9840,2002
광주광역시,8230,3732,2002
대전광역시,9131,4336,2002
울산광역시,6512,3348,2002
세종특별자치시,0,0,2002
경기도,68330,31288,2002
강원특별자치도,8378,4632,2002
충청북도,8684,4259,2002
충청남도,10421,5074,2002
전라북도,10687,5179,2002
전라남도,10039,5296,2002
경상북도,14600,6683,2002
경상남도,17905,8737,2002
제주특별자치도,3574,1962,2002
서울특별시,72750,32499,2003
부산광역시,20027,14120,2003
대구광역시,14028,8581,2003
인천광역시,15720,11512,2003
광주광역시,7760,4336,2003
대전광역시,8973,4923,2003
울산광역시,6528,3942,2003
세종특별자치시,0,0,2003
경기도,68255,36625,2003
강원특별자치도,8413,5152,2003
충청북도,8423,4632,2003
충청남도,10551,5720,2003
전라북도,10246,6295,2003
전라남도,9858,6078,2003
경상북도,14240,7768,2003
경상남도,17558,10314,2003
제주특별자치도,3379,2177,2003
서울특별시,71553,26994,2004
부산광역시,19898,11334,2004
대구광역시,13792,6635,2004
인천광역시,15900,9546,2004
광주광역시,8012,3558,2004
대전광역시,8857,3942,2004
울산광역시,6647,3024,2004
세종특별자치시,0,0,2004
경기도,70236,31608,2004
강원특별자치도,8235,4322,2004
충청북도,8534,3839,2004
충청남도,11418,5148,2004
전라북도,10111,5086,2004
전라남도,9675,4915,2004
경상북도,14000,6376,2004
경상남도,18375,8547,2004
제주특별자치도,3325,1777,2004
서울특별시,71286,25300,2005
부산광역시,18973,9905,2005
대구광역시,13152,5916,2005
인천광역시,16515,8646,2005
광주광역시,7827,3127,2005
대전광역시,9035,3328,2005
울산광역시,6939,2780,2005
세종특별자치시,0,0,2005
경기도,72431,30358,2005
강원특별자치도,8496,4105,2005
충청북도,8390,3469,2005
충청남도,12107,4594,2005
전라북도,10196,4471,2005
전라남도,9984,4394,2005
경상북도,14639,5828,2005
경상남도,18664,7844,2005
제주특별자치도,3382,1663,2005
서울특별시,73924,24354,2006
부산광역시,20017,8953,2006
대구광역시,13892,5490,2006
인천광역시,17261,8132,2006
광주광역시,8487,2974,2006
대전광역시,9502,3287,2006
울산광역시,7493,2825,2006
세종특별자치시,0,0,2006
경기도,77231,30003,2006
강원특별자치도,8731,3985,2006
충청북도,9291,3438,2006
충청남도,13373,4647,2006
전라북도,10429,4448,2006
전라남도,10507,4423,2006
경상북도,16178,5604,2006
경상남도,20789,7603,2006
제주특별자치도,3576,1613,2006
서울특별시,76399,24615,2007
부산광역시,21484,8677,2007
대구광역시,14655,5330,2007
인천광역시,18227,7854,2007
광주광역시,8858,2925,2007
대전광역시,9684,3449,2007
울산광역시,7563,2581,2007
세종특별자치시,0,0,2007
경기도,81248,29964,2007
강원특별자치도,8930,3818,2007
충청북도,9834,3558,2007
충청남도,13766,4703,2007
전라북도,10864,4417,2007
전라남도,10854,4240,2007
경상북도,16623,5571,2007
경상남도,21555,7493,2007
제주특별자치도,3495,1561,2007
서울특별시,71753,23319,2008
부산광역시,20149,7908,2008
대구광역시,13743,5005,2008
인천광역시,18108,7414,2008
광주광역시,8472,2836,2008
대전광역시,9499,3236,2008
울산광역시,7837,2295,2008
세종특별자치시,0,0,2008
경기도,78004,28379,2008
강원특별자치도,8517,3394,2008
충청북도,9512,3354,2008
충청남도,13354,4472,2008
전라북도,10399,3784,2008
전라남도,10480,4021,2008
경상북도,15634,5287,2008
경상남도,20497,6981,2008
제주특별자치도,3445,1238,2008
서울특별시,68841,23920,2009
부산광역시,18614,8550,2009
대구광역시,12844,5361,2009
인천광역시,16643,7880,2009
광주광역시,8088,3076,2009
대전광역시,8885,3433,2009
울산광역시,7267,2591,2009
세종특별자치시,0,0,2009
경기도,73403,29807,2009
강원특별자치도,8081,3742,2009
충청북도,8666,3738,2009
충청남도,12708,5178,2009
전라북도,9605,4285,2009
전라남도,10051,4290,2009
경상북도,14499,5523,2009
경상남도,19494,7476,2009
제주특별자치도,3279,1469,2009
서울특별시,70466,21768,2010
부산광역시,20195,7645,2010
대구광역시,13479,5107,2010
인천광역시,17407,7354,2010
광주광역시,8566,3002,2010
대전광역시,9351,3189,2010
울산광역시,7660,2597,2010
세종특별자치시,0,0,2010
경기도,78471,27810,2010
강원특별자치도,8365,3579,2010
충청북도,9171,3554,2010
충청남도,13185,4756,2010
전라북도,10525,3910,2010
전라남도,10461,4326,2010
경상북도,15592,5476,2010
경상남도,21170,7503,2010
제주특별자치도,3515,1466,2010
서울특별시,71519,20617,2011
부산광역시,20224,7514,2011
대구광역시,13813,4658,2011
인천광역시,18013,6840,2011
광주광역시,8946,2857,2011
대전광역시,9726,3067,2011
울산광역시,7768,2380,2011
세종특별자치시,0,0,2011
경기도,79137,28444,2011
강원특별자치도,8338,3562,2011
충청북도,9542,3675,2011
충청남도,13216,4819,2011
전라북도,10353,4176,2011
전라남도,10266,4138,2011
경상북도,15942,5322,2011
경상남도,20769,7207,2011
제주특별자치도,3582,1395,2011
서울특별시,71695,20177,2012
부산광역시,20362,7501,2012
대구광역시,13642,4947,2012
인천광역시,18079,7306,2012
광주광역시,8596,2923,2012
대전광역시,9745,2938,2012
울산광역시,7887,2590,2012
세종특별자치시,634,223,2012
경기도,79449,28452,2012
강원특별자치도,8225,3550,2012
충청북도,9275,3424,2012
충청남도,12849,4685,2012
전라북도,10022,3856,2012
전라남도,9827,4011,2012
경상북도,15383,5562,2012
경상남도,20140,7427,2012
제주특별자치도,3482,1426,2012
서울특별시,68819,20126,2013
부산광역시,20734,7444,2013
대구광역시,13601,4796,2013
인천광역시,18010,7253,2013
광주광역시,8820,2924,2013
대전광역시,9621,3003,2013
울산광역시,7998,2578,2013
세종특별자치시,743,240,2013
경기도,77649,28733,2013
강원특별자치도,7946,3725,2013
충청북도,9307,3732,2013
충청남도,12482,4820,2013
전라북도,9823,4144,2013
전라남도,9995,4096,2013
경상북도,15421,5410,2013
경상남도,20291,7547,2013
제주특별자치도,3638,1440,2013
서울특별시,64823,19477,2014
부산광역시,18927,7345,2014
대구광역시,12552,4794,2014
인천광역시,17251,7417,2014
광주광역시,8213,3051,2014
대전광역시,9118,3221,2014
울산광역시,7674,2731,2014
세종특별자치시,920,280,2014
경기도,74306,28892,2014
강원특별자치도,7785,3630,2014
충청북도,8774,3671,2014
충청남도,12040,4915,2014
전라북도,9211,4091,2014
전라남도,9357,4135,2014
경상북도,14183,5503,2014
경상남도,19056,7602,2014
제주특별자치도,3593,1530,2014
서울특별시,64193,18176,2015
부산광역시,18553,6649,2015
대구광역시,12545,4497,2015
인천광역시,17118,7116,2015
광주광역시,7945,2842,2015
대전광역시,8805,2999,2015
울산광역시,7483,2406,2015
세종특별자치시,1498,324,2015
경기도,73950,27688,2015
강원특별자치도,7876,3484,2015
충청북도,8872,3486,2015
충청남도,12331,4724,2015
전라북도,9060,3755,2015
전라남도,9275,4033,2015
경상북도,14273,5348,2015
경상남도,18671,7368,2015
제주특별자치도,3676,1447,2015
서울특별시,57643,17777,2016
부산광역시,17113,6859,2016
대구광역시,12216,4383,2016
인천광역시,16092,7097,2016
광주광역시,7468,2817,2016
대전광역시,8325,2890,2016
울산광역시,7006,2520,2016
세종특별자치시,1612,343,2016
경기도,70052,26723,2016
강원특별자치도,7468,3482,2016
충청북도,8334,3446,2016
충청남도,11792,4682,2016
전라북도,8216,3979,2016
전라남도,8554,3965,2016
경상북도,13363,5375,2016
경상남도,17580,7486,2016
제주특별자치도,3705,1552,2016
서울특별시,53776,17083,2017
부산광역시,15677,6651,2017
대구광역시,11392,4380,2017
인천광역시,15235,6988,2017
광주광역시,7141,2694,2017
대전광역시,7697,2855,2017
울산광역시,6331,2519,2017
세종특별자치시,1728,465,2017
경기도,66429,26924,2017
강원특별자치도,7295,3263,2017
충청북도,7990,3461,2017
충청남도,10961,4835,2017
전라북도,7817,3698,2017
전라남도,8049,4008,2017
경상북도,12190,5505,2017
경상남도,15978,7355,2017
제주특별자치도,3654,1530,2017
서울특별시,52005,16940,2018
부산광역시,14781,6678,2018
대구광역시,10967,4530,2018
인천광역시,14850,7011,2018
광주광역시,6632,2887,2018
대전광역시,7377,3008,2018
울산광역시,5894,2658,2018
세종특별자치시,2038,485,2018
경기도,66877,27884,2018
강원특별자치도,6994,3418,2018
충청북도,7827,3543,2018
충청남도,10970,4842,2018
전라북도,7219,3934,2018
전라남도,7587,4170,2018
경상북도,11687,5620,2018
경상남도,14996,7575,2018
제주특별자치도,3638,1607,2018
서울특별시,48261,16972,2019
부산광역시,13780,6787,2019
대구광역시,9880,4655,2019
인천광역시,13401,7176,2019
광주광역시,6297,2915,2019
대전광역시,6602,3097,2019
울산광역시,5442,2534,2019
세종특별자치시,2039,606,2019
경기도,62356,28453,2019
강원특별자치도,6762,3624,2019
충청북도,7239,3699,2019
충청남도,9826,5202,2019
전라북도,7005,4007,2019
전라남도,7413,4130,2019
경상북도,10637,5635,2019
경상남도,13613,7827,2019
제주특별자치도,3358,1716,2019
서울특별시,44746,16282,2020
부산광역시,12128,6497,2020
대구광역시,8340,4345,2020
인천광역시,11574,6931,2020
광주광역시,5560,2604,2020
대전광역시,5976,3009,2020
울산광역시,4737,2460,2020
세종특별자치시,1854,601,2020
경기도,57814,27983,2020
강원특별자치도,5868,3358,2020
